,Latitude,Longitude,City,Country,PostalCode,Street,OperatorName
1531,46.206895,6.104442,Le Lignon,CHE,1219,Chemin du Château-Bloch 2,Bgdi_Admin
1532,46.206895,6.104442,Le Lignon,CHE,1219,Chemin du Château-Bloch 2,Bgdi_Admin
1533,46.206895,6.104442,Le Lignon,CHE,1219,Chemin du Château-Bloch 2,Bgdi_Admin
1534,46.68411,7.857459,Interlaken,CHE,3800,Jungfraustrasse 53,Bgdi_Admin
1535,46.68411,7.857459,Interlaken,CHE,3800,Jungfraustrasse 53,Bgdi_Admin
1536,46.9478,7.42786,Bern,CHE,3010,Freiburgstrasse 3,Bgdi_Admin
1537,46.9478,7.42786,Bern,CHE,3010,Freiburgstrasse 3,Bgdi_Admin
1538,46.90917,7.50584,Belp,CHE,3123,Flugplatzstrasse 4 4,Bgdi_Admin
1539,47.364586,7.933973,Winznau,CHE,4652,Oltnerstrasse 5,Bgdi_Admin
1540,47.364586,7.933973,Winznau,CHE,4652,Oltnerstrasse 5,Bgdi_Admin
1541,47.207295,7.540597,Solothurn,CHE,4502,Ritterquai,Bgdi_Admin
1542,47.207295,7.540597,Solothurn,CHE,4502,Ritterquai,Bgdi_Admin
1543,46.93828,7.48488,Bern,CHE,3015,Jupiterstrasse 41,Bgdi_Admin
1544,46.93828,7.48488,Bern,CHE,3015,Jupiterstrasse 41,Bgdi_Admin
1545,46.93828,7.48488,Bern,CHE,3015,Jupiterstrasse 41,Bgdi_Admin
1546,46.93828,7.48488,Bern,CHE,3015,Jupiterstrasse 41,Bgdi_Admin
1547,46.69167,8.83605,Disentis/Muster,CHE,7180,Via Foppas,Bgdi_Admin
1548,46.69167,8.83605,Disentis/Muster,CHE,7180,Via Foppas,Bgdi_Admin
1549,46.622783,8.035302,Grindelwald,CHE,3818,Dorfstrasse 110,Bgdi_Admin
1550,46.622783,8.035302,Grindelwald,CHE,3818,Dorfstrasse 110,Bgdi_Admin
1551,46.509347,6.848659,Attalens,CHE,1616,Rue du Château 1,Bgdi_Admin
1552,46.509347,6.848659,Attalens,CHE,1616,Rue du Château 1,Bgdi_Admin
1553,46.93854,7.48074,Bern,CHE,3015,Jupiterstrasse 1,Bgdi_Admin
1554,46.93854,7.48074,Bern,CHE,3015,Jupiterstrasse 1,Bgdi_Admin
1555,46.93854,7.48074,Bern,CHE,3015,Jupiterstrasse 1,Bgdi_Admin
1556,46.93854,7.48074,Bern,CHE,3015,Jupiterstrasse 1,Bgdi_Admin
1557,46.499655,9.846678,St. Moritz,CHE,7500,Via Johannes Badrutt 11,Bgdi_Admin
1558,46.957043,7.467978,Bern,CHE,3006,Boligenstrasse 61,Bgdi_Admin
1559,46.957043,7.467978,Bern,CHE,3006,Boligenstrasse 61,Bgdi_Admin
1560,46.851703,6.840387,Estavayer-le-Lac,CHE,1470,Place Nova Friburgo,Bgdi_Admin
1561,46.851703,6.840387,Estavayer-le-Lac,CHE,1470,Place Nova Friburgo,Bgdi_Admin
1562,47.00743,7.02113,La Tène,CHE,2074,Route des Marais 10,Bgdi_Admin
1563,47.00743,7.02113,La Tène,CHE,2074,Route des Marais 10,Bgdi_Admin
1564,47.446377,7.695015,Lupsingen,CHE,4419,Liestalerstrasse 14,Bgdi_Admin
1565,47.446377,7.695015,Lupsingen,CHE,4419,Liestalerstrasse 14,Bgdi_Admin
1566,46.242791,6.147082,Pregny-Chambésy,CHE,1292,Chemin de Chambésy 15-19,Bgdi_Admin
1567,46.242791,6.147082,Pregny-Chambésy,CHE,1292,Chemin de Chambésy 15-19,Bgdi_Admin
1568,46.453837,7.436407,Lenk im Simmental,CHE,3775,Badstrasse 20,Bgdi_Admin
1569,46.453837,7.436407,Lenk im Simmental,CHE,3775,Badstrasse 20,Bgdi_Admin
1570,46.187807,6.197807,Thônex,CHE,1226,Chemin du Bois-Des-Arts 58,Bgdi_Admin
1571,47.204359,7.538102,Solothurn,CHE,4500,Dornacherplatz 13,Bgdi_Admin
