,Unnamed: 0,Postleitzahl,Anzahl,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
332,333,1008.0,4,1008.0,100.0,VD,5585.0,Jouxtens-Mézery
333,334,5034.0,4,5034.0,99.85,AG,4012.0,Suhr
334,335,8856.0,4,8856.0,94.47,SZ,1347.0,Tuggen
335,336,1217.0,4,1217.0,81.92,GE,6630.0,Meyrin
336,337,5616.0,4,5616.0,81.02,AG,4202.0,Meisterschwanden
337,338,5070.0,4,5070.0,100.0,AG,4163.0,Frick
338,339,4612.0,4,4612.0,0.06,SO,2581.0,Olten
339,340,8903.0,4,8903.0,99.94,ZH,242.0,Birmensdorf (ZH)
340,341,8157.0,4,8157.0,100.0,ZH,86.0,Dielsdorf
341,342,4562.0,4,4562.0,93.66,SO,2513.0,Biberist
342,343,2103.0,4,2103.0,0.19,NE,6413.0,Rochefort
343,344,4512.0,4,4512.0,99.12,SO,2542.0,Bellach
344,345,7310.0,4,7310.0,97.74,SG,3291.0,Bad Ragaz
345,346,1895.0,4,1895.0,63.28,VS,6158.0,Vionnaz
346,347,8951.0,4,8951.0,12.8,ZH,244.0,Geroldswil
347,348,4937.0,4,4937.0,91.21,BE,344.0,Ursenbach
348,349,7742.0,4,7742.0,52.08,GR,3561.0,Poschiavo
349,350,5647.0,4,5647.0,100.0,AG,4237.0,Oberrüti
350,351,8898.0,4,8898.0,6.91,SG,3292.0,Flums
351,352,3422.0,4,3422.0,0.15,BE,405.0,Ersigen
352,353,1285.0,4,1285.0,99.3,GE,6604.0,Avusy
353,354,6710.0,4,6710.0,99.9,TI,5281.0,Biasca
354,355,5606.0,4,5606.0,100.0,AG,4194.0,Dintikon
355,356,3983.0,4,3983.0,100.0,VS,6172.0,Bister
356,357,7204.0,4,7204.0,100.0,GR,3946.0,Untervaz
357,358,7231.0,4,7231.0,45.01,GR,3863.0,Jenaz
358,359,8406.0,4,8406.0,11.54,ZH,230.0,Winterthur
359,360,8906.0,4,8906.0,100.0,ZH,3.0,Bonstetten
360,361,1196.0,4,1196.0,100.0,VD,5721.0,Gland
361,362,8370.0,4,8370.0,0.37,TG,4724.0,Eschlikon
362,363,5036.0,4,5036.0,100.0,AG,4010.0,Oberentfelden
