,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
394,1669622809-583,https://www.autolina.ch/elektro-auto,54'900,1814,2021.0,498.0,grau,1814.0,100.0,VD,5889.0,La Tour-de-Peilz,14656.0,VD,2230.0,Riviera-Pays-d'Enhaut,5889,La Tour-de-Peilz,2006-09-01
395,1669622809-584,https://www.autolina.ch/elektro-auto,67'200,1814,,229.0,schwarz,1814.0,100.0,VD,5889.0,La Tour-de-Peilz,14656.0,VD,2230.0,Riviera-Pays-d'Enhaut,5889,La Tour-de-Peilz,2006-09-01
396,1669622809-585,https://www.autolina.ch/elektro-auto,144'900,6467,,476.0,grau,6467.0,91.12,UR,1213.0,Schattdorf,13055.0,UR,400.0,Kt. Uri,1213,Schattdorf,1848-09-12
397,1669622809-586,https://www.autolina.ch/elektro-auto,59'900,3960,2022.0,299.0,rot,3960.0,70.93,VS,6248.0,Sierre,13227.0,VS,2311.0,Sierre,6248,Sierre,1972-10-01
398,1669622809-587,https://www.autolina.ch/elektro-auto,38'900,8048,,118.0,grün,8048.0,5.92,ZH,261.0,Zürich,13688.0,ZH,112.0,Zürich,261,Zürich,1990-01-01
399,1669622809-588,https://www.autolina.ch/elektro-auto,36'900,8048,2021.0,118.0,schwarz,8048.0,5.92,ZH,261.0,Zürich,13688.0,ZH,112.0,Zürich,261,Zürich,1990-01-01
400,1669622809-589,https://www.autolina.ch/elektro-auto,61'900,1950,2021.0,265.0,blau,1950.0,0.83,VS,6263.0,Grimisuat,12094.0,VS,2312.0,Sion,6263,Grimisuat,1848-09-12
401,1669622809-590,https://www.autolina.ch/elektro-auto,70'600,1022,,371.0,blau,1022.0,98.79,VD,5627.0,Chavannes-près-Renens,14860.0,VD,2229.0,Ouest lausannois,5627,Chavannes-près-Renens,2006-09-01
402,1669622809-591,https://www.autolina.ch/elektro-auto,61'500,1022,,300.0,blau,1022.0,98.79,VD,5627.0,Chavannes-près-Renens,14860.0,VD,2229.0,Ouest lausannois,5627,Chavannes-près-Renens,2006-09-01
403,1669622809-592,https://www.autolina.ch/elektro-auto,78'300,2802,,204.0,silber,2802.0,99.6,JU,6712.0,Develier,13283.0,JU,2601.0,Delémont,6712,Develier,1979-01-01
404,1669622809-593,https://www.autolina.ch/elektro-auto,27'925,2802,,82.0,silber,2802.0,99.6,JU,6712.0,Develier,13283.0,JU,2601.0,Delémont,6712,Develier,1979-01-01
405,1669622809-594,https://www.autolina.ch/elektro-auto,70'600,1022,2022.0,371.0,schwarz,1022.0,98.79,VD,5627.0,Chavannes-près-Renens,14860.0,VD,2229.0,Ouest lausannois,5627,Chavannes-près-Renens,2006-09-01
406,1669622809-595,https://www.autolina.ch/elektro-auto,31'490,9424,2021.0,136.0,anthrazit,9424.0,99.64,SG,3235.0,Rheineck,14395.0,SG,1723.0,Rheintal,3235,Rheineck,2003-01-01
407,1669622809-596,https://www.autolina.ch/elektro-auto,71'780,3930,,371.0,schwarz,3930.0,0.17,VS,6199.0,Raron,13162.0,VS,2309.0,Raron,6199,Raron,1848-09-12
